Date,Price,LAG1,LAG2,LAG3,LAG4,LAG5,MA5,MA10,MA20
1/31/2002,2.138,2.08,2.006,1.908,2.037,2.048,2.0158,2.1145,2.1932
2/1/2002,2.138,2.138,2.08,2.006,1.908,2.037,2.0338,2.0889,2.17685
2/4/2002,2.117,2.138,2.138,2.08,2.006,1.908,2.054,2.0773,2.17035
2/5/2002,2.074,2.117,2.138,2.138,2.08,2.006,2.0958,2.0654,2.16245
2/6/2002,2.101,2.074,2.117,2.138,2.138,2.08,2.1094,2.0622,2.15255
2/7/2002,2.15,2.101,2.074,2.117,2.138,2.138,2.1136,2.0647,2.14355
2/8/2002,2.191,2.15,2.101,2.074,2.117,2.138,2.116,2.0749,2.13965
2/11/2002,2.286,2.191,2.15,2.101,2.074,2.117,2.1266,2.0903,2.13995
2/12/2002,2.305,2.286,2.191,2.15,2.101,2.074,2.1604,2.1281,2.14405
2/13/2002,2.245,2.305,2.286,2.191,2.15,2.101,2.2066,2.158,2.1468
2/14/2002,2.186,2.245,2.305,2.286,2.191,2.15,2.2354,2.1745,2.1445
2/15/2002,2.206,2.186,2.245,2.305,2.286,2.191,2.2426,2.1793,2.1341
2/19/2002,2.397,2.206,2.186,2.245,2.305,2.286,2.2456,2.1861,2.1317
2/20/2002,2.385,2.397,2.206,2.186,2.245,2.305,2.2678,2.2141,2.13975
2/21/2002,2.425,2.385,2.397,2.206,2.186,2.245,2.2838,2.2452,2.1537
2/22/2002,2.449,2.425,2.385,2.397,2.206,2.186,2.3198,2.2776,2.17115
2/25/2002,2.307,2.449,2.425,2.385,2.397,2.206,2.3724,2.3075,2.1912
2/26/2002,2.388,2.307,2.449,2.425,2.385,2.397,2.3926,2.3191,2.2047
2/27/2002,2.427,2.388,2.307,2.449,2.425,2.385,2.3908,2.3293,2.2287
2/28/2002,2.357,2.427,2.388,2.307,2.449,2.425,2.3992,2.3415,2.24975
3/1/2002,2.359,2.357,2.427,2.388,2.307,2.449,2.3856,2.3527,2.2636
3/4/2002,2.488,2.359,2.357,2.427,2.388,2.307,2.3676,2.37,2.27465
3/5/2002,2.467,2.488,2.359,2.357,2.427,2.388,2.4038,2.3982,2.29215
3/6/2002,2.566,2.467,2.488,2.359,2.357,2.427,2.4196,2.4052,2.30965
3/7/2002,2.756,2.566,2.467,2.488,2.359,2.357,2.4474,2.4233,2.33425
3/8/2002,2.8,2.756,2.566,2.467,2.488,2.359,2.5272,2.4564,2.367
3/11/2002,3.021,2.8,2.756,2.566,2.467,2.488,2.6154,2.4915,2.3995
3/12/2002,3.018,3.021,2.8,2.756,2.566,2.467,2.722,2.5629,2.441
3/13/2002,2.87,3.018,3.021,2.8,2.756,2.566,2.8322,2.6259,2.4776
3/14/2002,2.924,2.87,3.018,3.021,2.8,2.756,2.893,2.6702,2.50585
3/15/2002,3.076,2.924,2.87,3.018,3.021,2.8,2.9266,2.7269,2.5398
3/18/2002,3.305,3.076,2.924,2.87,3.018,3.021,2.9818,2.7986,2.5843
3/19/2002,3.256,3.305,3.076,2.924,2.87,3.018,3.0386,2.8803,2.63925
3/20/2002,3.111,3.256,3.305,3.076,2.924,2.87,3.0862,2.9592,2.6822
3/21/2002,3.431,3.111,3.256,3.305,3.076,2.924,3.1344,3.0137,2.7185
3/22/2002,3.326,3.431,3.111,3.256,3.305,3.076,3.2358,3.0812,2.7688
3/25/2002,3.457,3.326,3.431,3.111,3.256,3.305,3.2858,3.1338,2.81265
3/26/2002,3.472,3.457,3.326,3.431,3.111,3.256,3.3162,3.1774,2.87015
3/27/2002,3.29,3.472,3.457,3.326,3.431,3.111,3.3594,3.2228,2.92435
